CH_1_us,CH_1_v
20679999.094784,-4.840000
20699999.633408,-4.840000
20720000.172032,-4.760000
20740000.710656,-4.840000
20759999.152128,-4.800000
20779999.690752,-4.800000
20800000.229376,-4.800000
20820000.768000,-4.840000
20839999.209472,-4.840000
20859999.748096,-4.840000
20880000.286720,-4.800000
20900000.825344,-4.840000
20919999.266816,-4.840000
20939999.805440,-4.840000
20960000.344064,-4.880000
20980000.882688,-4.840000
20999999.324160,-4.840000
21019999.862784,-4.880000
21040000.401408,-4.880000
21060000.940032,-4.800000
21079999.381504,-5.080000
21099999.920128,-4.800000
21120000.458752,-4.840000
21140000.997376,-4.840000
21159999.438848,-4.840000
21179999.977472,-4.760000
21200000.516096,-4.760000
21219998.957568,-4.800000
21239999.496192,-4.840000
21260000.034816,-4.840000
21280000.573440,-4.800000
21299999.014912,-4.840000
21319999.553536,-4.760000
21340000.092160,-4.840000
21360000.630784,-4.840000
21379999.072256,-4.800000
21399999.610880,-4.840000
21420000.149504,-4.800000
21440000.688128,-4.840000
21459999.129600,-4.760000
21479999.668224,-4.840000
21500000.206848,-4.800000
21520000.745472,-4.760000
21539999.186944,-4.880000
21559999.725568,-4.840000
21580000.264192,-4.840000
21600000.802816,-4.840000
21619999.244288,-4.800000
21639999.782912,-4.840000
21660000.321536,-4.840000
21680000.860160,-4.800000
21699999.301632,-4.800000
21719999.840256,-4.800000
21740000.378880,-4.800000
21760000.917504,-4.840000
21779999.358976,-4.840000
21799999.897600,-4.800000
21820000.436224,-4.840000
21840000.974848,-4.800000
21859999.416320,-4.800000
21879999.954944,-5.000000
21900000.493568,-4.840000
21920001.032192,-4.840000
